danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
0.422,0.128,11.0,-18.639,1.0,0.0455,0.772,0.248,0.112,0.114,106.629,audio_features,3qLjzXrgkhG0z4L0MtlYyr,spotify:track:3qLjzXrgkhG0z4L0MtlYyr,https://api.spotify.com/v1/tracks/3qLjzXrgkhG0z4L0MtlYyr,https://api.spotify.com/v1/audio-analysis/3qLjzXrgkhG0z4L0MtlYyr,310775.0,4.0,
0.499,0.569,6.0,-6.93,1.0,0.0352,0.821,0.000431,0.153,0.262,133.612,audio_features,0oU8UllnpbyXSj9CSJWAUs,spotify:track:0oU8UllnpbyXSj9CSJWAUs,https://api.spotify.com/v1/tracks/0oU8UllnpbyXSj9CSJWAUs,https://api.spotify.com/v1/audio-analysis/0oU8UllnpbyXSj9CSJWAUs,230000.0,4.0,
0.686,0.471,0.0,-8.783,1.0,0.025,0.677,0.000739,0.109,0.472,95.941,audio_features,4LGzTuuqc1cHHPiT5yqG0M,spotify:track:4LGzTuuqc1cHHPiT5yqG0M,https://api.spotify.com/v1/tracks/4LGzTuuqc1cHHPiT5yqG0M,https://api.spotify.com/v1/audio-analysis/4LGzTuuqc1cHHPiT5yqG0M,257509.0,4.0,
0.521,0.402,6.0,-7.078,1.0,0.0264,0.295,0.000227,0.346,0.287,61.518,audio_features,1RXm56bhVF2TFLr9MKXZwB,spotify:track:1RXm56bhVF2TFLr9MKXZwB,https://api.spotify.com/v1/tracks/1RXm56bhVF2TFLr9MKXZwB,https://api.spotify.com/v1/audio-analysis/1RXm56bhVF2TFLr9MKXZwB,207854.0,4.0,
0.296,0.054,1.0,-12.006,1.0,0.0362,0.912,0.000177,0.111,0.135,149.742,audio_features,5GHWOcmUZZXmToQCYMURIs,spotify:track:5GHWOcmUZZXmToQCYMURIs,https://api.spotify.com/v1/tracks/5GHWOcmUZZXmToQCYMURIs,https://api.spotify.com/v1/audio-analysis/5GHWOcmUZZXmToQCYMURIs,250847.0,5.0,
0.663,0.441,2.0,-7.214,1.0,0.0397,0.323,1.73e-05,0.09,0.354,109.042,audio_features,453OMWBBVnfHG86LaKsrKZ,spotify:track:453OMWBBVnfHG86LaKsrKZ,https://api.spotify.com/v1/tracks/453OMWBBVnfHG86LaKsrKZ,https://api.spotify.com/v1/audio-analysis/453OMWBBVnfHG86LaKsrKZ,235640.0,4.0,
0.583,0.383,7.0,-9.821,1.0,0.0237,0.669,1.46e-05,0.121,0.234,82.52,audio_features,2ty0fqitXu2U8SjlNbhZ68,spotify:track:2ty0fqitXu2U8SjlNbhZ68,https://api.spotify.com/v1/tracks/2ty0fqitXu2U8SjlNbhZ68,https://api.spotify.com/v1/audio-analysis/2ty0fqitXu2U8SjlNbhZ68,239776.0,4.0,
0.596,0.507,0.0,-5.535,1.0,0.0263,0.513,1.87e-05,0.112,0.154,93.955,audio_features,2538yYWknqfUIMZy1jOkFb,spotify:track:2538yYWknqfUIMZy1jOkFb,https://api.spotify.com/v1/tracks/2538yYWknqfUIMZy1jOkFb,https://api.spotify.com/v1/audio-analysis/2538yYWknqfUIMZy1jOkFb,257511.0,4.0,
0.599,0.388,8.0,-8.961,1.0,0.0715,0.408,1.9e-05,0.112,0.49,77.924,audio_features,0GY7DPFDGWMJhBoih8fvfX,spotify:track:0GY7DPFDGWMJhBoih8fvfX,https://api.spotify.com/v1/tracks/0GY7DPFDGWMJhBoih8fvfX,https://api.spotify.com/v1/audio-analysis/0GY7DPFDGWMJhBoih8fvfX,231627.0,4.0,
0.583,0.461,0.0,-8.73,1.0,0.0266,0.625,0.00713,0.116,0.403,95.218,audio_features,32ioHHPhIoZjPtwUw5TVfE,spotify:track:32ioHHPhIoZjPtwUw5TVfE,https://api.spotify.com/v1/tracks/32ioHHPhIoZjPtwUw5TVfE,https://api.spotify.com/v1/audio-analysis/32ioHHPhIoZjPtwUw5TVfE,293800.0,4.0,
0.471,0.464,11.0,-7.941,1.0,0.0301,0.702,5.59e-05,0.115,0.296,186.875,audio_features,6ItGPha13j36IiQlvubGrT,spotify:track:6ItGPha13j36IiQlvubGrT,https://api.spotify.com/v1/tracks/6ItGPha13j36IiQlvubGrT,https://api.spotify.com/v1/audio-analysis/6ItGPha13j36IiQlvubGrT,252147.0,4.0,
